,Topic
26164,Heart Failure
41812,Stroke
34957,Heart Failure
38537,Stroke
35753,Heart Failure
12236,Acute Myocardial Infarction (Heart Attack)
41503,Stroke
8978,Acute Myocardial Infarction (Heart Attack)
25045,Heart Failure
8478,Diseases of the Heart (Heart Disease)
40905,Stroke
6046,Diseases of the Heart (Heart Disease)
1699,Major Cardiovascular Disease
34368,Heart Failure
17873,Coronary Heart Disease
39214,Stroke
37593,Heart Failure
22976,Heart Failure
23169,Heart Failure
1228,Major Cardiovascular Disease
425,Major Cardiovascular Disease
21696,Heart Failure
39584,Stroke
9295,Acute Myocardial Infarction (Heart Attack)
32901,Heart Failure
40633,Stroke
31491,Heart Failure
27410,Heart Failure
5347,Diseases of the Heart (Heart Disease)
13638,Acute Myocardial Infarction (Heart Attack)
4272,Major Cardiovascular Disease
25198,Heart Failure
13584,Acute Myocardial Infarction (Heart Attack)
12916,Acute Myocardial Infarction (Heart Attack)
17387,Coronary Heart Disease
19750,Heart Failure
42477,Stroke
796,Major Cardiovascular Disease
6182,Diseases of the Heart (Heart Disease)
31315,Heart Failure
15669,Coronary Heart Disease
20537,Heart Failure
21662,Heart Failure
20378,Heart Failure
15113,Coronary Heart Disease
7924,Diseases of the Heart (Heart Disease)
38907,Stroke
16271,Coronary Heart Disease
3459,Major Cardiovascular Disease
33422,Heart Failure
22733,Heart Failure
7584,Diseases of the Heart (Heart Disease)
38622,Stroke
42132,Stroke
26431,Heart Failure
35586,Heart Failure
28638,Heart Failure
41283,Stroke
8802,Acute Myocardial Infarction (Heart Attack)
4002,Major Cardiovascular Disease
22996,Heart Failure
21647,Heart Failure
11645,Acute Myocardial Infarction (Heart Attack)
17314,Coronary Heart Disease
10655,Acute Myocardial Infarction (Heart Attack)
13573,Coronary Heart Disease
25727,Heart Failure
19789,Heart Failure
21409,Heart Failure
26965,Heart Failure
35902,Heart Failure
36638,Heart Failure
15570,Coronary Heart Disease
36114,Heart Failure
15404,Coronary Heart Disease
33396,Heart Failure
19083,Coronary Heart Disease
42371,Stroke
28249,Heart Failure
14670,Acute Myocardial Infarction (Heart Attack)
33476,Heart Failure
8262,Diseases of the Heart (Heart Disease)
41615,Stroke
1917,Major Cardiovascular Disease
32042,Heart Failure
36372,Heart Failure
23100,Heart Failure
5237,Diseases of the Heart (Heart Disease)
12978,Acute Myocardial Infarction (Heart Attack)
10473,Acute Myocardial Infarction (Heart Attack)
20648,Heart Failure
37817,Stroke
42138,Stroke
7274,Diseases of the Heart (Heart Disease)
34296,Heart Failure
18385,Coronary Heart Disease
3857,Major Cardiovascular Disease
31321,Heart Failure
24591,Heart Failure
9638,Diseases of the Heart (Heart Disease)
14415,Acute Myocardial Infarction (Heart Attack)
13816,Coronary Heart Disease
11911,Acute Myocardial Infarction (Heart Attack)
3195,Major Cardiovascular Disease
35907,Heart Failure
22722,Heart Failure
14698,Coronary Heart Disease
37469,Heart Failure
28159,Heart Failure
3368,Major Cardiovascular Disease
10979,Acute Myocardial Infarction (Heart Attack)
7660,Diseases of the Heart (Heart Disease)
15372,Acute Myocardial Infarction (Heart Attack)
16709,Coronary Heart Disease
13438,Acute Myocardial Infarction (Heart Attack)
14592,Coronary Heart Disease
41555,Stroke
33073,Heart Failure
6430,Major Cardiovascular Disease
9127,Acute Myocardial Infarction (Heart Attack)
18866,Heart Failure
15439,Coronary Heart Disease
609,Major Cardiovascular Disease
28712,Heart Failure
1258,Major Cardiovascular Disease
38296,Heart Failure
24655,Heart Failure
18773,Heart Failure
2362,Major Cardiovascular Disease
32447,Heart Failure
24128,Heart Failure
8426,Diseases of the Heart (Heart Disease)
10482,Acute Myocardial Infarction (Heart Attack)
6302,Diseases of the Heart (Heart Disease)
37645,Heart Failure
13096,Acute Myocardial Infarction (Heart Attack)
4727,Diseases of the Heart (Heart Disease)
21531,Heart Failure
14332,Coronary Heart Disease
33258,Heart Failure
273,Major Cardiovascular Disease
21426,Heart Failure
23910,Heart Failure
11452,Acute Myocardial Infarction (Heart Attack)
25346,Heart Failure
27953,Heart Failure
26807,Heart Failure
37443,Stroke
7158,Diseases of the Heart (Heart Disease)
40949,Stroke
38199,Heart Failure
42101,Stroke
12003,Acute Myocardial Infarction (Heart Attack)
23530,Heart Failure
30714,Heart Failure
37450,Heart Failure
4125,Major Cardiovascular Disease
3650,Major Cardiovascular Disease
40990,Stroke
48,Major Cardiovascular Disease
11926,Acute Myocardial Infarction (Heart Attack)
39432,Stroke
10367,Diseases of the Heart (Heart Disease)
14398,Coronary Heart Disease
40858,Stroke
10574,Diseases of the Heart (Heart Disease)
27443,Heart Failure
25443,Heart Failure
11905,Acute Myocardial Infarction (Heart Attack)
1981,Major Cardiovascular Disease
26234,Heart Failure
5375,Major Cardiovascular Disease
5868,Diseases of the Heart (Heart Disease)
9756,Diseases of the Heart (Heart Disease)
38485,Stroke
4315,Major Cardiovascular Disease
603,Major Cardiovascular Disease
12803,Acute Myocardial Infarction (Heart Attack)
9730,Acute Myocardial Infarction (Heart Attack)
25507,Heart Failure
34542,Heart Failure
13057,Acute Myocardial Infarction (Heart Attack)
40689,Stroke
35669,Heart Failure
11790,Acute Myocardial Infarction (Heart Attack)
19757,Heart Failure
18376,Coronary Heart Disease
20845,Heart Failure
24337,Heart Failure
1673,Major Cardiovascular Disease
4061,Major Cardiovascular Disease
28597,Heart Failure
25698,Heart Failure
2311,Major Cardiovascular Disease
20319,Heart Failure
5948,Diseases of the Heart (Heart Disease)
11057,Acute Myocardial Infarction (Heart Attack)
33440,Heart Failure
110,Major Cardiovascular Disease
31127,Heart Failure
7747,Diseases of the Heart (Heart Disease)
40707,Stroke
1878,Major Cardiovascular Disease
7763,Diseases of the Heart (Heart Disease)
23019,Heart Failure
32103,Heart Failure
27556,Heart Failure
18250,Heart Failure
27181,Heart Failure
1292,Major Cardiovascular Disease
18746,Heart Failure
22717,Heart Failure
19694,Heart Failure
8498,Diseases of the Heart (Heart Disease)
38964,Stroke
28317,Heart Failure
7291,Diseases of the Heart (Heart Disease)
21599,Heart Failure
2997,Major Cardiovascular Disease
3190,Major Cardiovascular Disease
18575,Heart Failure
33280,Heart Failure
2279,Major Cardiovascular Disease
7490,Diseases of the Heart (Heart Disease)
9942,Acute Myocardial Infarction (Heart Attack)
3613,Major Cardiovascular Disease
32474,Heart Failure
457,Major Cardiovascular Disease
25793,Heart Failure
18098,Heart Failure
33854,Heart Failure
22165,Heart Failure
33680,Heart Failure
4925,Diseases of the Heart (Heart Disease)
10049,Acute Myocardial Infarction (Heart Attack)
21383,Heart Failure
20057,Coronary Heart Disease
25983,Heart Failure
36909,Heart Failure
18528,Heart Failure
30666,Heart Failure
11754,Acute Myocardial Infarction (Heart Attack)
1937,Major Cardiovascular Disease
39821,Stroke
41663,Stroke
10958,Acute Myocardial Infarction (Heart Attack)
32047,Heart Failure
20846,Heart Failure
24340,Heart Failure
17078,Coronary Heart Disease
22479,Heart Failure
16834,Coronary Heart Disease
36450,Stroke
5308,Diseases of the Heart (Heart Disease)
2544,Major Cardiovascular Disease
27779,Heart Failure
20751,Heart Failure
5490,Diseases of the Heart (Heart Disease)
19829,Coronary Heart Disease
24004,Heart Failure
24433,Heart Failure
3142,Major Cardiovascular Disease
3596,Major Cardiovascular Disease
20157,Heart Failure
30090,Heart Failure
28117,Heart Failure
18068,Heart Failure
29837,Heart Failure
38992,Stroke
20316,Heart Failure
28725,Heart Failure
21690,Heart Failure
21500,Heart Failure
2820,Major Cardiovascular Disease
37657,Heart Failure
41115,Stroke
1726,Major Cardiovascular Disease
6908,Diseases of the Heart (Heart Disease)
20927,Heart Failure
41646,Stroke
40071,Stroke
26204,Heart Failure
19779,Coronary Heart Disease
12688,Acute Myocardial Infarction (Heart Attack)
3482,Major Cardiovascular Disease
17622,Coronary Heart Disease
9164,Acute Myocardial Infarction (Heart Attack)
18981,Coronary Heart Disease
28239,Heart Failure
32681,Heart Failure
8699,Diseases of the Heart (Heart Disease)
1858,Major Cardiovascular Disease
30702,Heart Failure
7881,Diseases of the Heart (Heart Disease)
33557,Heart Failure
15645,Coronary Heart Disease
25953,Heart Failure
33042,Heart Failure
13830,Acute Myocardial Infarction (Heart Attack)
7799,Diseases of the Heart (Heart Disease)
5216,Diseases of the Heart (Heart Disease)
32725,Heart Failure
3532,Major Cardiovascular Disease
28033,Heart Failure
34876,Heart Failure
25514,Heart Failure
35803,Heart Failure
30274,Heart Failure
31228,Heart Failure
20016,Coronary Heart Disease
15270,Acute Myocardial Infarction (Heart Attack)
22889,Heart Failure
40598,Stroke
10338,Diseases of the Heart (Heart Disease)
2550,Major Cardiovascular Disease
23772,Heart Failure
15537,Coronary Heart Disease
14286,Coronary Heart Disease
40965,Stroke
9908,Diseases of the Heart (Heart Disease)
19539,Coronary Heart Disease
22667,Heart Failure
36339,Heart Failure
40998,Stroke
13132,Acute Myocardial Infarction (Heart Attack)
4458,Diseases of the Heart (Heart Disease)
16986,Coronary Heart Disease
38412,Heart Failure
2978,Major Cardiovascular Disease
32504,Heart Failure
12746,Acute Myocardial Infarction (Heart Attack)
25871,Heart Failure
1314,Major Cardiovascular Disease
4120,Major Cardiovascular Disease
24917,Heart Failure
36441,Heart Failure
39267,Stroke
26669,Heart Failure
18410,Heart Failure
22728,Heart Failure
39569,Stroke
17216,Coronary Heart Disease
8650,Diseases of the Heart (Heart Disease)
12961,Acute Myocardial Infarction (Heart Attack)
27125,Heart Failure
30250,Heart Failure
10345,Diseases of the Heart (Heart Disease)
16852,Coronary Heart Disease
9337,Acute Myocardial Infarction (Heart Attack)
23392,Heart Failure
32675,Heart Failure
10092,Acute Myocardial Infarction (Heart Attack)
40903,Stroke
41711,Stroke
15536,Coronary Heart Disease
7190,Diseases of the Heart (Heart Disease)
19114,Coronary Heart Disease
2223,Major Cardiovascular Disease
7457,Diseases of the Heart (Heart Disease)
14857,Coronary Heart Disease
8291,Diseases of the Heart (Heart Disease)
6820,Diseases of the Heart (Heart Disease)
21733,Heart Failure
763,Major Cardiovascular Disease
40674,Stroke
6942,Diseases of the Heart (Heart Disease)
8471,Diseases of the Heart (Heart Disease)
32760,Heart Failure
41069,Stroke
42074,Stroke
18937,Coronary Heart Disease
2788,Major Cardiovascular Disease
1814,Major Cardiovascular Disease
13435,Coronary Heart Disease
38193,Heart Failure
15682,Coronary Heart Disease
32898,Heart Failure
5179,Diseases of the Heart (Heart Disease)
132,Major Cardiovascular Disease
8782,Diseases of the Heart (Heart Disease)
29846,Heart Failure
6868,Diseases of the Heart (Heart Disease)
3701,Major Cardiovascular Disease
8296,Diseases of the Heart (Heart Disease)
35995,Heart Failure
40232,Stroke
1424,Major Cardiovascular Disease
29729,Heart Failure
12573,Acute Myocardial Infarction (Heart Attack)
32431,Heart Failure
18311,Heart Failure
8130,Diseases of the Heart (Heart Disease)
25690,Heart Failure
35177,Heart Failure
23733,Heart Failure
17274,Coronary Heart Disease
28080,Heart Failure
34553,Heart Failure
32941,Heart Failure
35713,Heart Failure
29892,Heart Failure
9440,Acute Myocardial Infarction (Heart Attack)
23216,Heart Failure
8272,Diseases of the Heart (Heart Disease)
15617,Coronary Heart Disease
26791,Heart Failure
21262,Heart Failure
959,Major Cardiovascular Disease
11273,Acute Myocardial Infarction (Heart Attack)
1592,Major Cardiovascular Disease
26491,Heart Failure
16977,Coronary Heart Disease
40630,Stroke
25311,Heart Failure
15318,Coronary Heart Disease
41860,Stroke
31918,Heart Failure
30196,Heart Failure
34607,Heart Failure
775,Major Cardiovascular Disease
11377,Acute Myocardial Infarction (Heart Attack)
5912,Diseases of the Heart (Heart Disease)
7560,Diseases of the Heart (Heart Disease)
40285,Stroke
7090,Diseases of the Heart (Heart Disease)
25001,Heart Failure
23289,Heart Failure
38547,Stroke
479,Major Cardiovascular Disease
21720,Heart Failure
19316,Coronary Heart Disease
23693,Heart Failure
32373,Heart Failure
15112,Acute Myocardial Infarction (Heart Attack)
29531,Heart Failure
24269,Heart Failure
28026,Heart Failure
12310,Acute Myocardial Infarction (Heart Attack)
39675,Stroke
7882,Diseases of the Heart (Heart Disease)
37227,Stroke
15037,Coronary Heart Disease
9020,Acute Myocardial Infarction (Heart Attack)
40762,Stroke
4667,Diseases of the Heart (Heart Disease)
32492,Heart Failure
3256,Major Cardiovascular Disease
934,Major Cardiovascular Disease
17037,Coronary Heart Disease
20352,Heart Failure
36011,Heart Failure
33870,Heart Failure
17236,Coronary Heart Disease
27743,Heart Failure
41206,Stroke
17665,Coronary Heart Disease
12806,Acute Myocardial Infarction (Heart Attack)
26066,Heart Failure
7634,Diseases of the Heart (Heart Disease)
8918,Acute Myocardial Infarction (Heart Attack)
12141,Acute Myocardial Infarction (Heart Attack)
20634,Heart Failure
5528,Diseases of the Heart (Heart Disease)
7643,Diseases of the Heart (Heart Disease)
40332,Stroke
12318,Acute Myocardial Infarction (Heart Attack)
14976,Coronary Heart Disease
19998,Heart Failure
38343,Heart Failure
5201,Diseases of the Heart (Heart Disease)
35536,Heart Failure
11823,Acute Myocardial Infarction (Heart Attack)
34820,Heart Failure
37723,Heart Failure
41329,Stroke
2351,Major Cardiovascular Disease
390,Major Cardiovascular Disease
19950,Heart Failure
19748,Coronary Heart Disease
8199,Diseases of the Heart (Heart Disease)
10113,Acute Myocardial Infarction (Heart Attack)
2373,Major Cardiovascular Disease
40066,Stroke
24557,Heart Failure
4025,Major Cardiovascular Disease
39203,Stroke
22254,Heart Failure
9043,Acute Myocardial Infarction (Heart Attack)
16497,Coronary Heart Disease
11438,Acute Myocardial Infarction (Heart Attack)
18633,Coronary Heart Disease
17025,Coronary Heart Disease
2996,Major Cardiovascular Disease
16602,Coronary Heart Disease
17846,Coronary Heart Disease
26316,Heart Failure
1180,Major Cardiovascular Disease
8880,Acute Myocardial Infarction (Heart Attack)
38545,Stroke
8864,Acute Myocardial Infarction (Heart Attack)
42053,Stroke
36127,Heart Failure
24100,Heart Failure
760,Major Cardiovascular Disease
5943,Diseases of the Heart (Heart Disease)
11494,Acute Myocardial Infarction (Heart Attack)
30275,Heart Failure
41033,Stroke
27147,Heart Failure
15513,Coronary Heart Disease
31308,Heart Failure
20477,Heart Failure
31762,Heart Failure
40580,Stroke
27355,Heart Failure
4563,Diseases of the Heart (Heart Disease)
21147,Heart Failure
4265,Major Cardiovascular Disease
26827,Heart Failure
22026,Heart Failure
3830,Major Cardiovascular Disease
26552,Heart Failure
5088,Diseases of the Heart (Heart Disease)
38725,Stroke
16184,Coronary Heart Disease
28409,Heart Failure
15385,Acute Myocardial Infarction (Heart Attack)
38355,Heart Failure
32720,Heart Failure
25279,Heart Failure
15507,Coronary Heart Disease
23524,Heart Failure
22376,Heart Failure
4217,Major Cardiovascular Disease
20419,Heart Failure
2737,Major Cardiovascular Disease
36070,Heart Failure
7327,Diseases of the Heart (Heart Disease)
41934,Stroke
27007,Heart Failure
7214,Diseases of the Heart (Heart Disease)
15613,Coronary Heart Disease
20734,Heart Failure
42182,Stroke
12041,Acute Myocardial Infarction (Heart Attack)
30204,Heart Failure
5810,Major Cardiovascular Disease
12412,Acute Myocardial Infarction (Heart Attack)
6181,Diseases of the Heart (Heart Disease)
11586,Acute Myocardial Infarction (Heart Attack)
22884,Heart Failure
14242,Coronary Heart Disease
2535,Major Cardiovascular Disease
14279,Acute Myocardial Infarction (Heart Attack)
2482,Major Cardiovascular Disease
35897,Heart Failure
13821,Acute Myocardial Infarction (Heart Attack)
41602,Stroke
37291,Heart Failure
6297,Major Cardiovascular Disease
24343,Heart Failure
21280,Heart Failure
5585,Major Cardiovascular Disease
20607,Heart Failure
31304,Heart Failure
25130,Heart Failure
21228,Heart Failure
38979,Stroke
2857,Major Cardiovascular Disease
27018,Heart Failure
1778,Major Cardiovascular Disease
28387,Heart Failure
9761,Diseases of the Heart (Heart Disease)
25992,Heart Failure
36111,Heart Failure
17136,Coronary Heart Disease
14972,Acute Myocardial Infarction (Heart Attack)
31582,Heart Failure
40660,Stroke
35988,Heart Failure
3925,Major Cardiovascular Disease
37941,Heart Failure
37111,Heart Failure
17225,Coronary Heart Disease
4790,Diseases of the Heart (Heart Disease)
24047,Heart Failure
41432,Stroke
11007,Acute Myocardial Infarction (Heart Attack)
18946,Heart Failure
22847,Heart Failure
20914,Heart Failure
14213,Acute Myocardial Infarction (Heart Attack)
33859,Heart Failure
39612,Stroke
40557,Stroke
39054,Stroke
20776,Heart Failure
2768,Major Cardiovascular Disease
17929,Heart Failure
10862,Acute Myocardial Infarction (Heart Attack)
17005,Coronary Heart Disease
38738,Stroke
34696,Heart Failure
20456,Heart Failure
27694,Heart Failure
13940,Coronary Heart Disease
25861,Heart Failure
21218,Heart Failure
30186,Heart Failure
202,Major Cardiovascular Disease
10028,Diseases of the Heart (Heart Disease)
6428,Diseases of the Heart (Heart Disease)
35682,Heart Failure
38135,Heart Failure
22842,Heart Failure
11312,Acute Myocardial Infarction (Heart Attack)
18693,Heart Failure
33372,Heart Failure
24038,Heart Failure
35898,Heart Failure
25954,Heart Failure
37916,Stroke
30106,Heart Failure
25413,Heart Failure
10102,Acute Myocardial Infarction (Heart Attack)
28418,Heart Failure
21245,Heart Failure
2519,Major Cardiovascular Disease
31631,Heart Failure
5469,Diseases of the Heart (Heart Disease)
19811,Heart Failure
29928,Heart Failure
24500,Heart Failure
29740,Heart Failure
15610,Coronary Heart Disease
15950,Coronary Heart Disease
40444,Stroke
34174,Heart Failure
37794,Heart Failure
14134,Coronary Heart Disease
34897,Heart Failure
12674,Acute Myocardial Infarction (Heart Attack)
39929,Stroke
26200,Heart Failure
4328,Major Cardiovascular Disease
41846,Stroke
18023,Heart Failure
1089,Major Cardiovascular Disease
24956,Heart Failure
40152,Stroke
20894,Heart Failure
42268,Stroke
12709,Acute Myocardial Infarction (Heart Attack)
643,Major Cardiovascular Disease
28236,Heart Failure
11747,Acute Myocardial Infarction (Heart Attack)
3095,Major Cardiovascular Disease
14721,Coronary Heart Disease
33843,Heart Failure
28772,Heart Failure
2890,Major Cardiovascular Disease
2564,Major Cardiovascular Disease
23839,Heart Failure
2721,Major Cardiovascular Disease
7533,Diseases of the Heart (Heart Disease)
38654,Stroke
2100,Major Cardiovascular Disease
8282,Diseases of the Heart (Heart Disease)
38644,Stroke
19229,Coronary Heart Disease
35137,Heart Failure
41717,Stroke
29471,Heart Failure
14965,Acute Myocardial Infarction (Heart Attack)
22502,Heart Failure
16074,Coronary Heart Disease
41275,Stroke
12497,Acute Myocardial Infarction (Heart Attack)
9241,Acute Myocardial Infarction (Heart Attack)
16654,Coronary Heart Disease
32048,Heart Failure
34501,Heart Failure
20380,Heart Failure
37891,Heart Failure
30920,Heart Failure
42218,Stroke
8903,Acute Myocardial Infarction (Heart Attack)
28639,Heart Failure
30944,Heart Failure
9815,Acute Myocardial Infarction (Heart Attack)
31184,Heart Failure
8832,Acute Myocardial Infarction (Heart Attack)
39529,Stroke
21204,Heart Failure
5327,Diseases of the Heart (Heart Disease)
33613,Heart Failure
21829,Heart Failure
41122,Stroke
24735,Heart Failure
10964,Acute Myocardial Infarction (Heart Attack)
20237,Heart Failure
4998,Diseases of the Heart (Heart Disease)
12,Major Cardiovascular Disease
20946,Heart Failure
3890,Major Cardiovascular Disease
37960,Heart Failure
29,Major Cardiovascular Disease
38430,Stroke
12632,Acute Myocardial Infarction (Heart Attack)
12582,Acute Myocardial Infarction (Heart Attack)
19513,Coronary Heart Disease
12829,Acute Myocardial Infarction (Heart Attack)
1286,Major Cardiovascular Disease
14399,Acute Myocardial Infarction (Heart Attack)
27230,Heart Failure
22031,Heart Failure
23455,Heart Failure
11154,Acute Myocardial Infarction (Heart Attack)
20858,Heart Failure
30009,Heart Failure
33455,Heart Failure
40090,Stroke
32038,Heart Failure
14065,Coronary Heart Disease
1427,Major Cardiovascular Disease
16156,Coronary Heart Disease
27911,Heart Failure
11816,Acute Myocardial Infarction (Heart Attack)
19454,Coronary Heart Disease
104,Major Cardiovascular Disease
7983,Diseases of the Heart (Heart Disease)
7650,Diseases of the Heart (Heart Disease)
34698,Heart Failure
5109,Diseases of the Heart (Heart Disease)
30676,Heart Failure
23562,Stroke
35533,Heart Failure
39737,Stroke
15988,Coronary Heart Disease
32415,Heart Failure
25495,Heart Failure
28241,Heart Failure
17150,Coronary Heart Disease
26674,Heart Failure
1156,Major Cardiovascular Disease
4005,Major Cardiovascular Disease
14012,Coronary Heart Disease
8651,Diseases of the Heart (Heart Disease)
19101,Coronary Heart Disease
10568,Acute Myocardial Infarction (Heart Attack)
1056,Major Cardiovascular Disease
34261,Heart Failure
37464,Heart Failure
25682,Heart Failure
23812,Heart Failure
39811,Stroke
24610,Heart Failure
30246,Heart Failure
10977,Acute Myocardial Infarction (Heart Attack)
25434,Heart Failure
13182,Acute Myocardial Infarction (Heart Attack)
37407,Stroke
33140,Heart Failure
29121,Heart Failure
23021,Heart Failure
17394,Coronary Heart Disease
32670,Heart Failure
29364,Heart Failure
16302,Coronary Heart Disease
7958,Diseases of the Heart (Heart Disease)
41166,Stroke
2192,Major Cardiovascular Disease
26638,Heart Failure
41545,Stroke
12719,Acute Myocardial Infarction (Heart Attack)
37822,Heart Failure
28278,Heart Failure
641,Major Cardiovascular Disease
8320,Diseases of the Heart (Heart Disease)
8297,Diseases of the Heart (Heart Disease)
25454,Heart Failure
11618,Acute Myocardial Infarction (Heart Attack)
25209,Heart Failure
9537,Acute Myocardial Infarction (Heart Attack)
20009,Heart Failure
1197,Major Cardiovascular Disease
21271,Heart Failure
9298,Acute Myocardial Infarction (Heart Attack)
295,Major Cardiovascular Disease
36024,Heart Failure
20947,Heart Failure
33943,Heart Failure
33485,Heart Failure
23703,Heart Failure
32830,Heart Failure
2894,Major Cardiovascular Disease
32748,Heart Failure
1861,Major Cardiovascular Disease
19620,Heart Failure
12226,Acute Myocardial Infarction (Heart Attack)
32785,Heart Failure
37031,Heart Failure
27887,Heart Failure
1598,Major Cardiovascular Disease
12823,Acute Myocardial Infarction (Heart Attack)
24648,Heart Failure
41653,Stroke
19355,Coronary Heart Disease
1690,Major Cardiovascular Disease
18217,Heart Failure
23542,Heart Failure
35267,Heart Failure
9301,Diseases of the Heart (Heart Disease)
40597,Stroke
30831,Heart Failure
38549,Stroke
24405,Heart Failure
27617,Heart Failure
3045,Major Cardiovascular Disease
10408,Diseases of the Heart (Heart Disease)
413,Major Cardiovascular Disease
19142,Coronary Heart Disease
21346,Heart Failure
32147,Heart Failure
31373,Heart Failure
25221,Heart Failure
669,Major Cardiovascular Disease
19192,Coronary Heart Disease
28865,Heart Failure
2242,Major Cardiovascular Disease
35398,Heart Failure
28842,Heart Failure
24097,Heart Failure
28099,Heart Failure
22727,Heart Failure
17140,Coronary Heart Disease
24579,Heart Failure
25159,Heart Failure
3366,Major Cardiovascular Disease
32087,Heart Failure
38416,Heart Failure
31787,Heart Failure
20533,Heart Failure
22731,Heart Failure
5045,Diseases of the Heart (Heart Disease)
17298,Coronary Heart Disease
25547,Heart Failure
10913,Acute Myocardial Infarction (Heart Attack)
22756,Heart Failure
2930,Major Cardiovascular Disease
25113,Heart Failure
25849,Heart Failure
35098,Heart Failure
35947,Heart Failure
14155,Coronary Heart Disease
12976,Acute Myocardial Infarction (Heart Attack)
26351,Heart Failure
41984,Stroke
13723,Coronary Heart Disease
28227,Heart Failure
37749,Heart Failure
16699,Coronary Heart Disease
32990,Heart Failure
2354,Major Cardiovascular Disease
5471,Diseases of the Heart (Heart Disease)
40822,Stroke
11921,Acute Myocardial Infarction (Heart Attack)
41280,Stroke
22444,Heart Failure
1859,Major Cardiovascular Disease
31007,Heart Failure
33221,Heart Failure
17656,Coronary Heart Disease
17020,Coronary Heart Disease
5155,Diseases of the Heart (Heart Disease)
27599,Heart Failure
38428,Heart Failure
1426,Major Cardiovascular Disease
33299,Heart Failure
40576,Stroke
19570,Coronary Heart Disease
7265,Diseases of the Heart (Heart Disease)
24746,Heart Failure
30423,Heart Failure
10157,Diseases of the Heart (Heart Disease)
36763,Heart Failure
40544,Stroke
33313,Heart Failure
9897,Diseases of the Heart (Heart Disease)
26650,Heart Failure
1445,Major Cardiovascular Disease
9490,Acute Myocardial Infarction (Heart Attack)
24133,Heart Failure
41037,Stroke
20239,Heart Failure
36850,Stroke
31853,Heart Failure
31620,Heart Failure
22600,Heart Failure
39759,Stroke
34201,Heart Failure
7271,Diseases of the Heart (Heart Disease)
15861,Coronary Heart Disease
26682,Heart Failure
7003,Diseases of the Heart (Heart Disease)
13896,Coronary Heart Disease
13366,Coronary Heart Disease
14000,Acute Myocardial Infarction (Heart Attack)
29701,Heart Failure
17466,Coronary Heart Disease
9675,Diseases of the Heart (Heart Disease)
873,Major Cardiovascular Disease
11569,Acute Myocardial Infarction (Heart Attack)
39643,Stroke
19961,Heart Failure
27705,Heart Failure
17281,Coronary Heart Disease
14841,Acute Myocardial Infarction (Heart Attack)
27285,Heart Failure
840,Major Cardiovascular Disease
31024,Heart Failure
38817,Stroke
4685,Diseases of the Heart (Heart Disease)
27612,Heart Failure
33670,Heart Failure
32052,Heart Failure
15900,Coronary Heart Disease
3438,Major Cardiovascular Disease
5372,Major Cardiovascular Disease
35499,Heart Failure
19232,Heart Failure
24041,Heart Failure
36121,Heart Failure
24283,Heart Failure
40233,Stroke
30170,Heart Failure
39673,Stroke
39244,Stroke
27914,Heart Failure
40295,Stroke
3715,Major Cardiovascular Disease
40643,Stroke
14586,Acute Myocardial Infarction (Heart Attack)
6828,Diseases of the Heart (Heart Disease)
4862,Diseases of the Heart (Heart Disease)
19275,Heart Failure
32363,Heart Failure
30058,Heart Failure
38665,Stroke
27858,Heart Failure
22369,Heart Failure
8747,Acute Myocardial Infarction (Heart Attack)
36940,Heart Failure
38288,Heart Failure
5363,Diseases of the Heart (Heart Disease)
12316,Acute Myocardial Infarction (Heart Attack)
19573,Heart Failure
1163,Major Cardiovascular Disease
36531,Heart Failure
30894,Heart Failure
2661,Major Cardiovascular Disease
16543,Coronary Heart Disease
20707,Heart Failure
19814,Heart Failure
38137,Stroke
8933,Diseases of the Heart (Heart Disease)
17068,Coronary Heart Disease
4711,Diseases of the Heart (Heart Disease)
39003,Stroke
19572,Coronary Heart Disease
31561,Heart Failure
38035,Stroke
42249,Stroke
6844,Diseases of the Heart (Heart Disease)
41915,Stroke
38361,Heart Failure
26329,Heart Failure
27548,Heart Failure
39644,Stroke
5600,Diseases of the Heart (Heart Disease)
32622,Heart Failure
20527,Heart Failure
6381,Diseases of the Heart (Heart Disease)
25261,Heart Failure
6582,Diseases of the Heart (Heart Disease)
28075,Heart Failure
20978,Heart Failure
679,Major Cardiovascular Disease
29814,Heart Failure
35475,Heart Failure
34992,Heart Failure
38136,Heart Failure
17132,Coronary Heart Disease
3790,Major Cardiovascular Disease
16431,Coronary Heart Disease
20986,Heart Failure
29256,Heart Failure
10576,Acute Myocardial Infarction (Heart Attack)
28118,Heart Failure
22094,Heart Failure
34027,Heart Failure
15986,Coronary Heart Disease
17172,Coronary Heart Disease
41317,Stroke
38088,Heart Failure
16947,Coronary Heart Disease
30214,Heart Failure
13901,Acute Myocardial Infarction (Heart Attack)
15657,Coronary Heart Disease
32126,Heart Failure
34170,Heart Failure
2846,Major Cardiovascular Disease
39113,Stroke
34389,Heart Failure
32025,Heart Failure
10490,Acute Myocardial Infarction (Heart Attack)
17458,Coronary Heart Disease
12156,Acute Myocardial Infarction (Heart Attack)
42001,Stroke
15100,Acute Myocardial Infarction (Heart Attack)
1305,Major Cardiovascular Disease
30571,Heart Failure
28373,Heart Failure
24633,Heart Failure
11642,Acute Myocardial Infarction (Heart Attack)
12309,Acute Myocardial Infarction (Heart Attack)
33618,Heart Failure
15666,Coronary Heart Disease
14743,Coronary Heart Disease
7437,Diseases of the Heart (Heart Disease)
39827,Stroke
