,Year,LocationDesc,Category,Topic,Indicator,Data_Value_Type,Data_Value_Unit,Data_Value,Data_Value_Alt,LowConfidenceLimit,HighConfidenceLimit,Break_Out_Category,Break_Out,GeoLocation
32268,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 65 to 74 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",8.2,8.2,8.1,8.2,Race,Non-Hispanic White,
32380,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",16.6,16.6,16.1,17.1,Race,Other,
32462,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.8,18.8,18.7,18.9,Gender,Female,
32515,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.6,18.6,18.1,19.1,Race,Other,
32569,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",34.6,34.6,34.2,35.0,Race,Non-Hispanic Black,
32589,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.5,19.5,19.3,19.6,Gender,Female,
32666,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",15.0,15.0,14.6,15.5,Race,Other,
32667,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.6,22.6,21.9,23.2,Race,Hispanic,
32693,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.0,20.0,19.9,20.1,Race,Non-Hispanic White,
32744,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.3,19.3,19.2,19.4,Race,Non-Hispanic White,
32831,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",14.9,14.9,14.5,15.3,Race,Other,
32899,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",24.5,24.5,24.3,24.6,Gender,Male,
33015,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",23.4,23.4,23.3,23.6,Gender,Male,
33037,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.5,18.5,18.4,18.6,Gender,Female,
33067,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.7,18.7,18.6,18.8,Gender,Female,
33132,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",23.1,23.1,23.0,23.3,Gender,Male,
33223,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",20.4,20.4,20.3,20.5,Race,Non-Hispanic White,
33295,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",15.0,15.0,14.6,15.4,Race,Other,
33326,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",16.3,16.3,15.9,16.8,Race,Other,
33337,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",15.8,15.8,15.3,16.2,Race,Other,
33453,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",15.6,15.6,15.2,16.1,Race,Other,
33482,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",24.0,24.0,23.8,24.1,Gender,Male,
33491,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.2,19.2,19.1,19.3,Race,Non-Hispanic White,
33565,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.7,19.7,19.6,19.8,Race,Non-Hispanic White,
33721,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.1,18.1,18.0,18.3,Gender,Female,
33748,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",37.1,37.1,36.6,37.5,Race,Non-Hispanic Black,
33757,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.7,22.7,21.9,23.4,Race,Hispanic,
33761,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",18.4,18.4,18.2,18.5,Gender,Female,
33789,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",25.5,25.5,24.7,26.2,Race,Hispanic,
33795,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",24.6,24.6,23.8,25.4,Race,Hispanic,
33861,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",24.4,24.4,23.7,25.1,Race,Hispanic,
33903,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",31.1,31.1,30.7,31.6,Race,Non-Hispanic Black,
33960,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",17.8,17.8,17.7,17.9,Gender,Female,
34063,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",19.3,19.3,19.2,19.4,Race,Non-Hispanic White,
34134,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",35.2,35.2,34.8,35.7,Race,Non-Hispanic Black,
34137,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",34.2,34.2,33.8,34.6,Race,Non-Hispanic Black,
34205,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",33.0,33.0,32.6,33.5,Race,Non-Hispanic Black,
34271,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.0,22.0,21.4,22.7,Race,Hispanic,
34333,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",23.3,23.3,23.1,23.4,Gender,Male,
34390,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 75 to 84 years with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",22.9,22.9,22.8,23.1,Gender,Male,
34514,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",49.8,49.8,49.6,50.0,Race,Non-Hispanic White,
34544,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",50.1,50.1,49.9,50.3,Race,Non-Hispanic White,
34581,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",56.0,56.0,55.5,56.4,Gender,Male,
34592,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",51.1,51.1,50.3,51.9,Race,Non-Hispanic Black,
34606,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",42.9,42.9,42.7,43.1,Race,Non-Hispanic White,
34638,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",47.9,47.9,47.1,48.7,Race,Non-Hispanic Black,
34700,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",49.0,49.0,48.6,49.4,Gender,Male,
34780,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",40.0,40.0,39.7,40.2,Gender,Female,
34956,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",47.3,47.3,47.1,47.6,Gender,Female,
34983,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",30.8,30.8,29.7,31.9,Race,Other,
35013,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",45.1,45.1,43.5,46.7,Race,Hispanic,
35073,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",39.4,39.4,38.0,40.8,Race,Other,
35157,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",50.0,50.0,48.3,51.6,Race,Hispanic,
35166,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",38.3,38.3,37.0,39.6,Race,Other,
35440,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",56.6,56.6,56.2,57.0,Gender,Male,
35504,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",43.2,43.2,41.7,44.7,Race,Hispanic,
35509,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",54.2,54.2,53.8,54.6,Gender,Male,
35546,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",45.5,45.5,43.9,47.1,Race,Hispanic,
35601,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",36.1,36.1,34.8,37.3,Race,Other,
35625,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",49.8,49.8,49.4,50.2,Gender,Male,
35655,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",51.1,51.1,49.3,52.9,Race,Hispanic,
35664,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",32.7,32.7,31.6,33.9,Race,Other,
35798,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",41.4,41.4,41.2,41.6,Gender,Female,
35946,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",48.1,48.1,47.9,48.4,Race,Non-Hispanic White,
35965,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",51.3,51.3,50.5,52.1,Race,Non-Hispanic Black,
35979,2005,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",45.5,45.5,45.3,45.8,Gender,Female,
35990,2004,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",53.4,53.4,52.6,54.2,Race,Non-Hispanic Black,
36018,2006,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",46.9,46.9,46.6,47.1,Gender,Female,
36064,2007,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",44.0,44.0,43.7,44.2,Race,Non-Hispanic White,
36126,2008,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",46.1,46.1,45.3,46.9,Race,Non-Hispanic Black,
36421,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",43.4,43.4,41.9,44.8,Race,Hispanic,
36478,2013,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.8,3.8,3.8,3.8,Gender,Female,
36513,2010,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.2,4.2,4.1,4.2,Race,Other,
36519,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",40.3,40.3,40.0,40.5,Gender,Female,
36562,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",44.5,44.5,44.3,44.7,Race,Non-Hispanic White,
36649,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",44.0,44.0,43.8,44.2,Race,Non-Hispanic White,
36789,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.9,3.9,3.9,3.9,Race,Non-Hispanic White,
36864,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",49.6,49.6,48.2,51.1,Race,Hispanic,
36991,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",52.8,52.8,52.4,53.1,Gender,Male,
37022,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",47.3,47.3,46.5,48.1,Race,Non-Hispanic Black,
37107,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",43.7,43.7,43.5,43.9,Race,Non-Hispanic White,
37139,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",40.9,40.9,40.7,41.1,Gender,Female,
37168,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",41.6,41.6,41.4,41.8,Gender,Female,
37266,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",32.7,32.7,31.7,33.7,Race,Other,
37301,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",31.1,31.1,30.0,32.1,Race,Other,
37307,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",49.9,49.9,49.5,50.3,Gender,Male,
37414,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.3,4.3,4.2,4.3,Race,Non-Hispanic Black,
37416,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",33.3,33.3,32.4,34.3,Race,Other,
37481,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",50.9,50.9,50.5,51.2,Gender,Male,
37501,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.9,3.9,3.8,4.0,Race,Hispanic,
37512,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",50.8,50.8,50.5,51.2,Gender,Male,
37614,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",43.3,43.3,43.0,43.5,Gender,Female,
37624,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.2,4.2,4.1,4.2,Gender,Male,
37701,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",45.9,45.9,44.5,47.2,Race,Hispanic,
37728,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",41.1,41.1,40.8,41.3,Gender,Female,
37882,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",45.1,45.1,43.7,46.4,Race,Hispanic,
37915,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",46.0,46.0,44.5,47.4,Race,Hispanic,
37944,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",46.2,46.2,46.0,46.4,Race,Non-Hispanic White,
37996,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.2,4.2,4.1,4.3,Race,Other,
38081,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",51.0,51.0,50.6,51.3,Gender,Male,
38085,2004,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.7,3.7,3.7,3.8,Gender,Female,
38126,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",29.7,29.7,28.7,30.7,Race,Other,
38189,2009,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.3,3.3,3.3,3.3,Age,65+,
38225,2012,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",50.6,50.6,49.8,51.4,Race,Non-Hispanic Black,
38232,2013,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",49.5,49.5,48.7,50.3,Race,Non-Hispanic Black,
38250,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",33.5,33.5,32.5,34.6,Race,Other,
38253,2011,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",52.6,52.6,51.8,53.4,Race,Non-Hispanic Black,
38259,2010,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.5,3.5,3.4,3.5,Race,Hispanic,
38274,2009,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",44.0,44.0,43.8,44.3,Race,Non-Hispanic White,
38394,2010,United States,Cardiovascular Diseases,Heart Failure,Rate of hospitalizations among adults aged 85 years and older with heart failure as the principal diagnosis (among FFS Medicare beneficiaries (65+)),Crude,"Rate per 1,000",50.3,50.3,49.5,51.1,Race,Non-Hispanic Black,
38513,2006,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.5,3.5,3.4,3.5,Race,Hispanic,
38520,2008,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),3.5,3.5,3.5,3.5,Gender,Female,
38611,2005,United States,Cardiovascular Diseases,Stroke,"Prevalence of cerebrovascular disease hospitalizations among all hospitalizations, US Medicare FFS beneficiaries (65+)",Crude,Percent (%),4.1,4.1,4.0,4.1,Race,Non-Hispanic Black,
